movie_id,title,genres,director,actor,language,country,year
1,Toy Story,"['Animation', ""Children's"", 'Comedy']",,[''],[''],[''],1995
2,Jumanji,"['Adventure', ""Children's"", 'Fantasy']",Joe_Johnston,"['Jonathan_Hyde', 'Kirsten_Dunst', 'Robin_Williams', 'David_Alan_Grier', 'Bonnie_Hunt', 'Bebe_Neuwirth']",['English'],['United_States'],1995
3,Grumpier Old Men,"['Comedy', 'Romance']",Howard_Deutch,"['Ann-Margret', 'Sophia_Loren', 'Daryl_Hannah', 'Jack_Lemmon', 'Walter_Matthau', 'Kevin_Pollak']",['English'],['United_States'],1995
4,Waiting to Exhale,"['Comedy', 'Drama']",Forest_Whitaker,"['Whitney_Houston', 'Angela_Bassett', 'Loretta_Devine', 'Lela_Rochon']",['English'],['United_States'],1995
5,Father of the Bride Part II,['Comedy'],Charles_Shyer,"['George_Newbern', 'Martin_Short', 'Steve_Martin', 'Eugene_Levy', 'B.D._Wong', 'Kieran_Culkin', 'Diane_Keaton', 'Kimberly_Williams-Paisley']",['English'],['United_States'],1995
6,Heat,"['Action', 'Crime', 'Thriller']",Michael_Mann,"['Mykelti_Williamson', 'Al_Pacino', 'Robert_De_Niro', 'Tom_Sizemore', 'Val_Kilmer', 'Ted_Levine', 'Jon_Voight', 'Diane_Venora', 'Ashley_Judd', 'Amy_Brenneman', 'Wes_Studi']",['English'],['United_States'],1995
7,Sabrina,"['Comedy', 'Romance']",Sydney_Pollack,"['John_Wood', 'Greg_Kinnear', 'Julia_Ormond', 'Harrison_Ford', 'Nancy_Marchand']",['English'],['United_States'],1995
8,Tom and Huck,"['Adventure', ""Children's""]",,[''],['English'],['United_States'],1995
9,Sudden Death,['Action'],,[''],[''],[''],1995
10,GoldenEye,"['Action', 'Adventure', 'Thriller']",Martin_Campbell,"['Sean_Bean', 'Pierce_Brosnan', 'Izabella_Scorupco', 'Joe_Don_Baker', 'Famke_Janssen']","['English', 'Russian', 'Spanish']","['United_Kingdom', 'United_States']",1995
11,"American President, The","['Comedy', 'Drama', 'Romance']",Rob_Reiner,"['Michael_J._Fox', 'Martin_Sheen', 'Michael_Douglas', 'Samantha_Mathis', 'Annette_Bening', 'David_Paymer']",['English'],['United_States'],1995
12,Dracula: Dead and Loving It,"['Comedy', 'Horror']",Mel_Brooks,"['Amy_Yasbeck', 'Harvey_Korman', 'Leslie_Nielsen', 'Mel_Brooks', 'Peter_MacNicol', 'Lysette_Anthony', 'Steven_Weber']",['English'],"['France', 'United_States']",1995
13,Balto,"['Animation', ""Children's""]",Simon_Wells,"['Bridget_Fonda', 'Jim_Cummings', 'Kevin_Bacon', 'Bob_Hoskins', 'Phil_Collins']",['English'],"['United_Kingdom', 'United_States']",1995
14,Nixon,['Drama'],Oliver_Stone,"['Anthony_Hopkins', 'J._T._Walsh', 'Paul_Sorvino', 'Joan_Allen', 'Ed_Harris', 'James_Woods', 'Bai_Ling', 'Powers_Boothe', 'E._G._Marshall', 'David_Hyde_Pierce', 'Bob_Hoskins', 'David_Paymer', 'Mary_Steenburgen']","['English', 'Russian', 'Chinese']",['United_States'],1995
15,Cutthroat Island,"['Action', 'Adventure', 'Romance']",Renny_Harlin,"['Frank_Langella', 'Stan_Shaw', 'Maury_Chaykin', 'Patrick_Malahide', 'Matthew_Modine', 'Geena_Davis']",['English'],"['France', 'United_States']",1995
16,Casino,"['Drama', 'Thriller']",,[''],[''],[''],1995
17,Sense and Sensibility,"['Drama', 'Romance']",Ang_Lee,"['Kate_Winslet', 'Hugh_Grant', 'Alan_Rickman', 'Emma_Thompson']",['English'],"['United_Kingdom', 'United_States']",1995
18,Four Rooms,['Thriller'],Alexandre_Rockwell|Robert_Rodriguez|Quentin_Tarantino|Allison_Anders,"['Marisa_Tomei', 'David_Proval', 'Tamlyn_Tomita', 'Ione_Skye', 'Madonna', 'Jennifer_Beals', 'Lili_Taylor', 'Valeria_Golino', 'Tim_Roth', 'Antonio_Banderas', 'Sammi_Davis', 'Paul_Calderon']",['English'],['United_States'],1995
